Item Name,Description,Price,Type,Cuisine,Restaurant Name,Location,Rating,Veg/Non-Veg,Discount
Coke Float,Coca-Cola with a scoop of vanilla ice cream.,192,Beverage,American,Restaurant C,Delhi,3.3,Non-Veg,11% off
Chicken Burger,Crispy chicken patty in a bun.,488,Snack,American,Restaurant I,Hyderabad,3.6,Non-Veg,6% off
Coke Float,Coca-Cola with a scoop of vanilla ice cream.,415,Beverage,American,Restaurant H,Hyderabad,3.7,Non-Veg,11% off
Hot Dog,Sausage served in a sliced bun.,364,Snack,American,Restaurant A,Bangalore,3.9,Non-Veg,19% off
Lassi,Sweet yogurt-based drink.,316,Beverage,Indian,Restaurant J,Delhi,3.9,Non-Veg,21% off
Milkshake,Thick and creamy milk-based drink.,346,Beverage,American,Restaurant J,Hyderabad,3.9,Non-Veg,12% off
Milkshake,Thick and creamy milk-based drink.,451,Beverage,American,Restaurant E,Hyderabad,3.3,Non-Veg,27% off
Fajitas,Grilled meat and vegetables served on tortillas.,289,Main Course,Mexican,Restaurant D,Bangalore,3.9,Non-Veg,19% off
Dal Tadka,Yellow lentils tempered with spices.,230,Main Course,Indian,Restaurant G,Delhi,3.6,Non-Veg,17% off
Lassi,Sweet yogurt-based drink.,387,Beverage,Indian,Restaurant G,Hyderabad,3.6,Non-Veg,7% off
Cheeseburger,Juicy beef patty with melted cheese.,491,Main Course,American,Restaurant E,Bangalore,3.9,Non-Veg,10% off
Guacamole,Mashed avocado dip with lime and salt.,214,Snack,Mexican,Restaurant A,Bangalore,3.7,Non-Veg,13% off
Paneer Tikka,Grilled paneer with Indian spices.,218,Snack,Indian,Restaurant G,Bangalore,3.9,Veg,13% off
Enchiladas,Corn tortillas rolled with filling and sauce.,362,Main Course,Mexican,Restaurant J,Mumbai,3.9,Non-Veg,13% off
Milkshake,Thick and creamy milk-based drink.,241,Beverage,American,Restaurant F,Bangalore,3.8,Non-Veg,18% off
Margarita,Refreshing lime and tequila cocktail.,115,Beverage,Mexican,Restaurant B,Chennai,3.6,Non-Veg,11% off
Margarita,Refreshing lime and tequila cocktail.,419,Beverage,Mexican,Restaurant B,Hyderabad,3.6,Non-Veg,28% off
Butter Naan,Soft bread with butter.,434,Main Course,Indian,Restaurant J,Hyderabad,3.6,Non-Veg,27% off
Cheeseburger,Juicy beef patty with melted cheese.,349,Main Course,American,Restaurant B,Chennai,3.6,Non-Veg,8% off
Butter Naan,Soft bread with butter.,402,Main Course,Indian,Restaurant A,Bangalore,3.8,Non-Veg,23% off
French Fries,"Golden, crispy fried potatoes.",322,Snack,American,Restaurant I,Hyderabad,3.8,Non-Veg,17% off
Mac and Cheese,Creamy macaroni and cheese dish.,105,Main Course,American,Restaurant F,Delhi,3.9,Non-Veg,25% off
Mexican Rice,Rice cooked with tomatoes and spices.,299,Main Course,Mexican,Restaurant I,Hyderabad,3.3,Non-Veg,17% off
Tandoori Chicken,Grilled chicken marinated with Indian spices.,237,Snack,Indian,Restaurant E,Delhi,3.8,Non-Veg,24% off
Paneer Tikka,Grilled paneer with Indian spices.,187,Snack,Indian,Restaurant H,Delhi,3.9,Veg,22% off
Mac and Cheese,Creamy macaroni and cheese dish.,275,Main Course,American,Restaurant J,Hyderabad,3.4,Non-Veg,24% off
Chicken Biryani,Spicy and flavorful.,234,Main Course,Indian,Restaurant J,Mumbai,3.3,Non-Veg,19% off
Chocolate Shake,Rich and creamy chocolate drink.,101,Beverage,American,Restaurant C,Delhi,3.6,Non-Veg,26% off
Fish Curry,Fish cooked in coconut milk.,341,Main Course,Indian,Restaurant G,Hyderabad,3.7,Non-Veg,25% off
Chocolate Shake,Rich and creamy chocolate drink.,161,Beverage,American,Restaurant D,Hyderabad,4.8,Non-Veg,14% off
Mac and Cheese,Creamy macaroni and cheese dish.,352,Main Course,American,Restaurant J,Mumbai,3.7,Non-Veg,17% off
Chocolate Shake,Rich and creamy chocolate drink.,492,Beverage,American,Restaurant C,Delhi,3.3,Non-Veg,20% off
Apple Pie,Classic American dessert with spiced apples.,126,Dessert,American,Restaurant E,Hyderabad,3.3,Non-Veg,22% off
Samosa,Crispy fried pastry filled with spiced potatoes.,228,Snack,Indian,Restaurant C,Delhi,3.3,Non-Veg,15% off
Apple Pie,Classic American dessert with spiced apples.,213,Dessert,American,Restaurant E,Delhi,3.8,Non-Veg,25% off
Milkshake,Thick and creamy milk-based drink.,367,Beverage,American,Restaurant G,Hyderabad,3.6,Non-Veg,17% off
Tacos,Corn tortilla filled with meat and veggies.,265,Snack,Mexican,Restaurant B,Bangalore,3.3,Non-Veg,11% off
Enchiladas,Corn tortillas rolled with filling and sauce.,349,Main Course,Mexican,Restaurant E,Delhi,4.8,Non-Veg,19% off
Samosa,Crispy fried pastry filled with spiced potatoes.,219,Snack,Indian,Restaurant B,Mumbai,3.3,Non-Veg,13% off
Tacos,Corn tortilla filled with meat and veggies.,155,Snack,Mexican,Restaurant I,Chennai,3.6,Non-Veg,13% off
Chicken Burger,Crispy chicken patty in a bun.,457,Snack,American,Restaurant J,Chennai,3.9,Non-Veg,8% off
Apple Pie,Classic American dessert with spiced apples.,220,Dessert,American,Restaurant B,Delhi,3.6,Non-Veg,9% off
Margarita,Refreshing lime and tequila cocktail.,492,Beverage,Mexican,Restaurant D,Bangalore,3.6,Non-Veg,15% off
Paneer Tikka,Grilled paneer with Indian spices.,133,Snack,Indian,Restaurant C,Chennai,3.3,Veg,20% off
Enchiladas,Corn tortillas rolled with filling and sauce.,294,Main Course,Mexican,Restaurant D,Bangalore,3.8,Non-Veg,21% off
Butter Naan,Soft bread with butter.,317,Main Course,Indian,Restaurant J,Delhi,3.3,Non-Veg,8% off
Milkshake,Thick and creamy milk-based drink.,353,Beverage,American,Restaurant E,Delhi,3.9,Non-Veg,14% off
Mexican Rice,Rice cooked with tomatoes and spices.,106,Main Course,Mexican,Restaurant B,Mumbai,3.3,Non-Veg,6% off
Chocolate Shake,Rich and creamy chocolate drink.,298,Beverage,American,Restaurant A,Chennai,3.6,Non-Veg,13% off
Masala Dosa,South Indian rice pancake with masala.,184,Snack,Indian,Restaurant F,Bangalore,3.8,Non-Veg,7% off
Mac and Cheese,Creamy macaroni and cheese dish.,292,Main Course,American,Restaurant C,Bangalore,3.9,Non-Veg,13% off
Butter Naan,Soft bread with butter.,161,Main Course,Indian,Restaurant C,Chennai,3.8,Non-Veg,16% off
Dal Tadka,Yellow lentils tempered with spices.,329,Main Course,Indian,Restaurant C,Mumbai,3.9,Non-Veg,23% off
Milkshake,Thick and creamy milk-based drink.,275,Beverage,American,Restaurant I,Hyderabad,3.8,Non-Veg,28% off
Lassi,Sweet yogurt-based drink.,227,Beverage,Indian,Restaurant B,Chennai,3.3,Non-Veg,18% off
Chicken Burger,Crispy chicken patty in a bun.,180,Snack,American,Restaurant F,Chennai,3.3,Non-Veg,7% off
Hot Dog,Sausage served in a sliced bun.,342,Snack,American,Restaurant D,Hyderabad,3.9,Non-Veg,6% off
Hot Dog,Sausage served in a sliced bun.,463,Snack,American,Restaurant C,Delhi,3.6,Non-Veg,5% off
Margarita,Refreshing lime and tequila cocktail.,209,Beverage,Mexican,Restaurant A,Mumbai,3.6,Non-Veg,19% off
Milkshake,Thick and creamy milk-based drink.,255,Beverage,American,Restaurant B,Chennai,3.3,Non-Veg,18% off
Paneer Tikka,Grilled paneer with Indian spices.,171,Snack,Indian,Restaurant A,Delhi,3.9,Veg,20% off
Coke Float,Coca-Cola with a scoop of vanilla ice cream.,376,Beverage,American,Restaurant D,Hyderabad,3.9,Non-Veg,10% off
Mexican Rice,Rice cooked with tomatoes and spices.,319,Main Course,Mexican,Restaurant A,Bangalore,3.8,Non-Veg,16% off
Mac and Cheese,Creamy macaroni and cheese dish.,379,Main Course,American,Restaurant G,Delhi,4.8,Non-Veg,22% off
Enchiladas,Corn tortillas rolled with filling and sauce.,459,Main Course,Mexican,Restaurant J,Delhi,3.8,Non-Veg,28% off
Fajitas,Grilled meat and vegetables served on tortillas.,254,Main Course,Mexican,Restaurant G,Chennai,3.6,Non-Veg,11% off
Apple Pie,Classic American dessert with spiced apples.,168,Dessert,American,Restaurant J,Mumbai,3.8,Non-Veg,16% off
Samosa,Crispy fried pastry filled with spiced potatoes.,421,Snack,Indian,Restaurant D,Hyderabad,3.3,Non-Veg,18% off
Chocolate Shake,Rich and creamy chocolate drink.,308,Beverage,American,Restaurant F,Bangalore,3.6,Non-Veg,25% off
Masala Dosa,South Indian rice pancake with masala.,472,Snack,Indian,Restaurant F,Hyderabad,3.6,Non-Veg,22% off
Margarita,Refreshing lime and tequila cocktail.,269,Beverage,Mexican,Restaurant G,Chennai,3.9,Non-Veg,7% off
Masala Dosa,South Indian rice pancake with masala.,159,Snack,Indian,Restaurant C,Hyderabad,3.8,Non-Veg,30% off
Tacos,Corn tortilla filled with meat and veggies.,101,Snack,Mexican,Restaurant G,Bangalore,3.3,Non-Veg,8% off
Churros,Fried dough pastry dusted with sugar.,306,Dessert,Mexican,Restaurant G,Hyderabad,3.6,Non-Veg,9% off
Burrito,"Flour tortilla wrapped with rice, beans, and meat.",483,Main Course,Mexican,Restaurant D,Chennai,3.9,Non-Veg,6% off
Guacamole,Mashed avocado dip with lime and salt.,238,Snack,Mexican,Restaurant A,Hyderabad,3.7,Non-Veg,7% off
Burrito,"Flour tortilla wrapped with rice, beans, and meat.",367,Main Course,Mexican,Restaurant H,Delhi,3.3,Non-Veg,6% off
Margarita,Refreshing lime and tequila cocktail.,230,Beverage,Mexican,Restaurant E,Delhi,3.9,Non-Veg,13% off
Milkshake,Thick and creamy milk-based drink.,353,Beverage,American,Restaurant A,Mumbai,3.7,Non-Veg,22% off
Samosa,Crispy fried pastry filled with spiced potatoes.,103,Snack,Indian,Restaurant I,Hyderabad,3.9,Non-Veg,8% off
Pancakes,Fluffy breakfast pancakes with syrup.,268,Dessert,American,Restaurant D,Bangalore,3.9,Non-Veg,7% off
Chicken Burger,Crispy chicken patty in a bun.,495,Snack,American,Restaurant B,Hyderabad,3.7,Non-Veg,28% off
Tandoori Chicken,Grilled chicken marinated with Indian spices.,283,Snack,Indian,Restaurant E,Chennai,3.3,Non-Veg,5% off
Masala Dosa,South Indian rice pancake with masala.,378,Snack,Indian,Restaurant G,Chennai,3.3,Non-Veg,24% off
Chocolate Shake,Rich and creamy chocolate drink.,117,Beverage,American,Restaurant H,Bangalore,3.3,Non-Veg,26% off
Chicken Biryani,Spicy and flavorful.,234,Main Course,Indian,Restaurant I,Hyderabad,4.8,Non-Veg,14% off
Fish Curry,Fish cooked in coconut milk.,296,Main Course,Indian,Restaurant J,Bangalore,3.3,Non-Veg,28% off
Butter Naan,Soft bread with butter.,359,Main Course,Indian,Restaurant A,Chennai,4.8,Non-Veg,6% off
Lassi,Sweet yogurt-based drink.,461,Beverage,Indian,Restaurant G,Mumbai,3.8,Non-Veg,21% off
Dal Tadka,Yellow lentils tempered with spices.,331,Main Course,Indian,Restaurant A,Bangalore,3.9,Non-Veg,13% off
Fajitas,Grilled meat and vegetables served on tortillas.,300,Main Course,Mexican,Restaurant D,Delhi,3.3,Non-Veg,7% off
Samosa,Crispy fried pastry filled with spiced potatoes.,146,Snack,Indian,Restaurant G,Chennai,3.9,Non-Veg,27% off
Coke Float,Coca-Cola with a scoop of vanilla ice cream.,266,Beverage,American,Restaurant F,Hyderabad,3.6,Non-Veg,15% off
Burrito,"Flour tortilla wrapped with rice, beans, and meat.",307,Main Course,Mexican,Restaurant H,Chennai,3.7,Non-Veg,7% off
Fish Curry,Fish cooked in coconut milk.,410,Main Course,Indian,Restaurant I,Delhi,3.7,Non-Veg,19% off
Margarita,Refreshing lime and tequila cocktail.,500,Beverage,Mexican,Restaurant A,Mumbai,3.8,Non-Veg,7% off
French Fries,"Golden, crispy fried potatoes.",317,Snack,American,Restaurant D,Chennai,3.7,Non-Veg,9% off
Coke Float,Coca-Cola with a scoop of vanilla ice cream.,243,Beverage,American,Restaurant D,Mumbai,3.4,Non-Veg,21% off
Tacos,Corn tortilla filled with meat and veggies.,281,Snack,Mexican,Restaurant E,Chennai,3.4,Non-Veg,12% off
Coke Float,Coca-Cola with a scoop of vanilla ice cream.,369,Beverage,American,Restaurant H,Mumbai,3.6,Non-Veg,18% off
Quesadilla,Grilled tortilla with melted cheese filling.,405,Snack,Mexican,Restaurant I,Chennai,3.7,Non-Veg,20% off
Samosa,Crispy fried pastry filled with spiced potatoes.,248,Snack,Indian,Restaurant A,Bangalore,3.9,Non-Veg,24% off
Hot Dog,Sausage served in a sliced bun.,348,Snack,American,Restaurant J,Mumbai,3.6,Non-Veg,22% off
Tandoori Chicken,Grilled chicken marinated with Indian spices.,196,Snack,Indian,Restaurant D,Bangalore,3.3,Non-Veg,26% off
Quesadilla,Grilled tortilla with melted cheese filling.,203,Snack,Mexican,Restaurant G,Hyderabad,3.9,Non-Veg,22% off
French Fries,"Golden, crispy fried potatoes.",125,Snack,American,Restaurant E,Delhi,3.3,Non-Veg,15% off
Chicken Biryani,Spicy and flavorful.,465,Main Course,Indian,Restaurant I,Hyderabad,3.9,Non-Veg,5% off
Paneer Tikka,Grilled paneer with Indian spices.,255,Snack,Indian,Restaurant B,Mumbai,3.3,Veg,13% off
Enchiladas,Corn tortillas rolled with filling and sauce.,485,Main Course,Mexican,Restaurant J,Delhi,3.9,Non-Veg,25% off
Milkshake,Thick and creamy milk-based drink.,321,Beverage,American,Restaurant C,Mumbai,3.8,Non-Veg,20% off
Enchiladas,Corn tortillas rolled with filling and sauce.,172,Main Course,Mexican,Restaurant F,Mumbai,4.8,Non-Veg,19% off
Fish Curry,Fish cooked in coconut milk.,113,Main Course,Indian,Restaurant G,Hyderabad,3.9,Non-Veg,23% off
Masala Dosa,South Indian rice pancake with masala.,435,Snack,Indian,Restaurant G,Chennai,3.6,Non-Veg,11% off
Tacos,Corn tortilla filled with meat and veggies.,404,Snack,Mexican,Restaurant G,Bangalore,3.6,Non-Veg,12% off
Veg Biryani,Made with aromatic basmati rice.,382,Main Course,Indian,Restaurant I,Chennai,4.8,Veg,10% off
Milkshake,Thick and creamy milk-based drink.,440,Beverage,American,Restaurant H,Delhi,3.3,Non-Veg,17% off
Masala Dosa,South Indian rice pancake with masala.,188,Snack,Indian,Restaurant G,Delhi,3.4,Non-Veg,5% off
Paneer Tikka,Grilled paneer with Indian spices.,438,Snack,Indian,Restaurant G,Hyderabad,3.8,Veg,7% off
Veg Biryani,Made with aromatic basmati rice.,308,Main Course,Indian,Restaurant D,Hyderabad,3.3,Veg,19% off
Masala Dosa,South Indian rice pancake with masala.,257,Snack,Indian,Restaurant G,Chennai,4.8,Non-Veg,20% off
Dal Tadka,Yellow lentils tempered with spices.,442,Main Course,Indian,Restaurant G,Hyderabad,3.8,Non-Veg,15% off
Pancakes,Fluffy breakfast pancakes with syrup.,349,Dessert,American,Restaurant H,Chennai,3.6,Non-Veg,5% off
Chocolate Shake,Rich and creamy chocolate drink.,337,Beverage,American,Restaurant I,Delhi,3.6,Non-Veg,6% off
Tacos,Corn tortilla filled with meat and veggies.,211,Snack,Mexican,Restaurant C,Delhi,3.4,Non-Veg,15% off
Quesadilla,Grilled tortilla with melted cheese filling.,110,Snack,Mexican,Restaurant F,Bangalore,3.3,Non-Veg,28% off
Lassi,Sweet yogurt-based drink.,403,Beverage,Indian,Restaurant I,Hyderabad,3.9,Non-Veg,17% off
Fish Curry,Fish cooked in coconut milk.,462,Main Course,Indian,Restaurant E,Delhi,4.8,Non-Veg,15% off
Churros,Fried dough pastry dusted with sugar.,426,Dessert,Mexican,Restaurant D,Bangalore,3.4,Non-Veg,28% off
Cheeseburger,Juicy beef patty with melted cheese.,393,Main Course,American,Restaurant C,Mumbai,3.3,Non-Veg,25% off
Fish Curry,Fish cooked in coconut milk.,171,Main Course,Indian,Restaurant J,Hyderabad,3.3,Non-Veg,6% off
Burrito,"Flour tortilla wrapped with rice, beans, and meat.",230,Main Course,Mexican,Restaurant C,Chennai,3.9,Non-Veg,15% off
Tacos,Corn tortilla filled with meat and veggies.,460,Snack,Mexican,Restaurant J,Delhi,3.6,Non-Veg,21% off
Burrito,"Flour tortilla wrapped with rice, beans, and meat.",154,Main Course,Mexican,Restaurant D,Delhi,3.6,Non-Veg,23% off
Coke Float,Coca-Cola with a scoop of vanilla ice cream.,347,Beverage,American,Restaurant E,Mumbai,3.3,Non-Veg,25% off
Fajitas,Grilled meat and vegetables served on tortillas.,438,Main Course,Mexican,Restaurant I,Chennai,3.3,Non-Veg,23% off
Masala Dosa,South Indian rice pancake with masala.,483,Snack,Indian,Restaurant I,Chennai,3.3,Non-Veg,10% off
Coke Float,Coca-Cola with a scoop of vanilla ice cream.,260,Beverage,American,Restaurant E,Bangalore,3.6,Non-Veg,18% off
Mexican Rice,Rice cooked with tomatoes and spices.,356,Main Course,Mexican,Restaurant A,Delhi,3.6,Non-Veg,7% off
Dal Tadka,Yellow lentils tempered with spices.,240,Main Course,Indian,Restaurant B,Delhi,3.9,Non-Veg,5% off
Burrito,"Flour tortilla wrapped with rice, beans, and meat.",355,Main Course,Mexican,Restaurant F,Chennai,4.8,Non-Veg,19% off
Burrito,"Flour tortilla wrapped with rice, beans, and meat.",493,Main Course,Mexican,Restaurant H,Bangalore,3.4,Non-Veg,22% off
Cheeseburger,Juicy beef patty with melted cheese.,340,Main Course,American,Restaurant D,Chennai,4.8,Non-Veg,21% off
Masala Dosa,South Indian rice pancake with masala.,161,Snack,Indian,Restaurant A,Hyderabad,3.6,Non-Veg,29% off
Margarita,Refreshing lime and tequila cocktail.,161,Beverage,Mexican,Restaurant E,Bangalore,3.4,Non-Veg,27% off
Lassi,Sweet yogurt-based drink.,276,Beverage,Indian,Restaurant C,Hyderabad,3.9,Non-Veg,12% off
Mac and Cheese,Creamy macaroni and cheese dish.,385,Main Course,American,Restaurant J,Hyderabad,3.4,Non-Veg,17% off
Burrito,"Flour tortilla wrapped with rice, beans, and meat.",376,Main Course,Mexican,Restaurant B,Chennai,3.9,Non-Veg,16% off
Fajitas,Grilled meat and vegetables served on tortillas.,400,Main Course,Mexican,Restaurant B,Hyderabad,3.7,Non-Veg,14% off
Quesadilla,Grilled tortilla with melted cheese filling.,362,Snack,Mexican,Restaurant A,Delhi,3.3,Non-Veg,23% off
Hot Dog,Sausage served in a sliced bun.,418,Snack,American,Restaurant F,Hyderabad,3.3,Non-Veg,25% off
Milkshake,Thick and creamy milk-based drink.,265,Beverage,American,Restaurant I,Mumbai,3.3,Non-Veg,17% off
Paneer Tikka,Grilled paneer with Indian spices.,267,Snack,Indian,Restaurant G,Delhi,3.6,Veg,15% off
Coke Float,Coca-Cola with a scoop of vanilla ice cream.,217,Beverage,American,Restaurant D,Bangalore,3.3,Non-Veg,19% off
Lassi,Sweet yogurt-based drink.,395,Beverage,Indian,Restaurant F,Bangalore,3.4,Non-Veg,10% off
Apple Pie,Classic American dessert with spiced apples.,425,Dessert,American,Restaurant J,Bangalore,3.6,Non-Veg,13% off
Fajitas,Grilled meat and vegetables served on tortillas.,343,Main Course,Mexican,Restaurant B,Bangalore,3.9,Non-Veg,27% off
Butter Naan,Soft bread with butter.,146,Main Course,Indian,Restaurant A,Delhi,3.8,Non-Veg,27% off
Dal Tadka,Yellow lentils tempered with spices.,356,Main Course,Indian,Restaurant E,Hyderabad,3.8,Non-Veg,22% off
Fish Curry,Fish cooked in coconut milk.,105,Main Course,Indian,Restaurant A,Chennai,3.7,Non-Veg,27% off
Fajitas,Grilled meat and vegetables served on tortillas.,207,Main Course,Mexican,Restaurant E,Hyderabad,4.8,Non-Veg,7% off
Pancakes,Fluffy breakfast pancakes with syrup.,154,Dessert,American,Restaurant J,Bangalore,3.9,Non-Veg,11% off
Tandoori Chicken,Grilled chicken marinated with Indian spices.,315,Snack,Indian,Restaurant A,Mumbai,3.3,Non-Veg,17% off
Cheeseburger,Juicy beef patty with melted cheese.,365,Main Course,American,Restaurant G,Delhi,3.6,Non-Veg,8% off
Butter Naan,Soft bread with butter.,266,Main Course,Indian,Restaurant F,Chennai,3.6,Non-Veg,15% off
Chicken Biryani,Spicy and flavorful.,288,Main Course,Indian,Restaurant F,Chennai,3.8,Non-Veg,5% off
Tandoori Chicken,Grilled chicken marinated with Indian spices.,338,Snack,Indian,Restaurant C,Bangalore,3.7,Non-Veg,17% off
Guacamole,Mashed avocado dip with lime and salt.,389,Snack,Mexican,Restaurant J,Chennai,3.3,Non-Veg,5% off
Butter Naan,Soft bread with butter.,148,Main Course,Indian,Restaurant C,Bangalore,3.9,Non-Veg,29% off
Guacamole,Mashed avocado dip with lime and salt.,136,Snack,Mexican,Restaurant J,Delhi,3.3,Non-Veg,15% off
Paneer Tikka,Grilled paneer with Indian spices.,242,Snack,Indian,Restaurant D,Chennai,3.6,Veg,6% off
Churros,Fried dough pastry dusted with sugar.,318,Dessert,Mexican,Restaurant H,Chennai,3.8,Non-Veg,9% off
Butter Naan,Soft bread with butter.,167,Main Course,Indian,Restaurant J,Hyderabad,3.3,Non-Veg,13% off
Chocolate Shake,Rich and creamy chocolate drink.,327,Beverage,American,Restaurant F,Delhi,3.6,Non-Veg,7% off
Coke Float,Coca-Cola with a scoop of vanilla ice cream.,445,Beverage,American,Restaurant C,Bangalore,3.3,Non-Veg,28% off
Apple Pie,Classic American dessert with spiced apples.,401,Dessert,American,Restaurant A,Bangalore,3.4,Non-Veg,24% off
Mac and Cheese,Creamy macaroni and cheese dish.,261,Main Course,American,Restaurant G,Delhi,4.8,Non-Veg,9% off
Veg Biryani,Made with aromatic basmati rice.,375,Main Course,Indian,Restaurant C,Chennai,3.3,Veg,8% off
Samosa,Crispy fried pastry filled with spiced potatoes.,112,Snack,Indian,Restaurant G,Bangalore,3.3,Non-Veg,13% off
Mexican Rice,Rice cooked with tomatoes and spices.,380,Main Course,Mexican,Restaurant I,Chennai,3.9,Non-Veg,6% off
Dal Tadka,Yellow lentils tempered with spices.,364,Main Course,Indian,Restaurant G,Mumbai,3.3,Non-Veg,5% off
Margarita,Refreshing lime and tequila cocktail.,485,Beverage,Mexican,Restaurant H,Hyderabad,3.6,Non-Veg,8% off
Veg Biryani,Made with aromatic basmati rice.,310,Main Course,Indian,Restaurant E,Bangalore,3.6,Veg,14% off
Nachos,Tortilla chips topped with melted cheese and salsa.,342,Snack,Mexican,Restaurant E,Bangalore,3.3,Non-Veg,7% off
Coke Float,Coca-Cola with a scoop of vanilla ice cream.,294,Beverage,American,Restaurant B,Chennai,4.8,Non-Veg,12% off
Milkshake,Thick and creamy milk-based drink.,406,Beverage,American,Restaurant C,Chennai,3.7,Non-Veg,13% off
Coke Float,Coca-Cola with a scoop of vanilla ice cream.,322,Beverage,American,Restaurant G,Delhi,3.6,Non-Veg,11% off
Dal Tadka,Yellow lentils tempered with spices.,307,Main Course,Indian,Restaurant D,Hyderabad,3.9,Non-Veg,11% off
Hot Dog,Sausage served in a sliced bun.,487,Snack,American,Restaurant D,Mumbai,3.9,Non-Veg,5% off
Mexican Rice,Rice cooked with tomatoes and spices.,445,Main Course,Mexican,Restaurant H,Chennai,3.3,Non-Veg,12% off
Mac and Cheese,Creamy macaroni and cheese dish.,432,Main Course,American,Restaurant H,Delhi,3.7,Non-Veg,19% off
Hot Dog,Sausage served in a sliced bun.,113,Snack,American,Restaurant E,Delhi,4.8,Non-Veg,19% off
Enchiladas,Corn tortillas rolled with filling and sauce.,289,Main Course,Mexican,Restaurant A,Hyderabad,3.8,Non-Veg,28% off
Paneer Tikka,Grilled paneer with Indian spices.,192,Snack,Indian,Restaurant J,Delhi,3.8,Veg,26% off
Paneer Tikka,Grilled paneer with Indian spices.,113,Snack,Indian,Restaurant A,Mumbai,4.8,Veg,17% off
Hot Dog,Sausage served in a sliced bun.,407,Snack,American,Restaurant H,Mumbai,3.3,Non-Veg,12% off
Pancakes,Fluffy breakfast pancakes with syrup.,255,Dessert,American,Restaurant C,Mumbai,3.7,Non-Veg,30% off
Mac and Cheese,Creamy macaroni and cheese dish.,294,Main Course,American,Restaurant E,Bangalore,3.9,Non-Veg,22% off
Guacamole,Mashed avocado dip with lime and salt.,274,Snack,Mexican,Restaurant G,Bangalore,3.3,Non-Veg,7% off
Cheeseburger,Juicy beef patty with melted cheese.,114,Main Course,American,Restaurant G,Chennai,3.3,Non-Veg,23% off
Lassi,Sweet yogurt-based drink.,159,Beverage,Indian,Restaurant I,Chennai,3.8,Non-Veg,24% off
Mac and Cheese,Creamy macaroni and cheese dish.,120,Main Course,American,Restaurant I,Chennai,3.7,Non-Veg,28% off
Mac and Cheese,Creamy macaroni and cheese dish.,327,Main Course,American,Restaurant A,Chennai,3.4,Non-Veg,13% off
Churros,Fried dough pastry dusted with sugar.,234,Dessert,Mexican,Restaurant B,Hyderabad,3.3,Non-Veg,26% off
Fish Curry,Fish cooked in coconut milk.,448,Main Course,Indian,Restaurant H,Delhi,3.9,Non-Veg,22% off
Nachos,Tortilla chips topped with melted cheese and salsa.,482,Snack,Mexican,Restaurant B,Chennai,3.6,Non-Veg,20% off
Paneer Tikka,Grilled paneer with Indian spices.,284,Snack,Indian,Restaurant H,Mumbai,3.7,Veg,7% off
Chicken Burger,Crispy chicken patty in a bun.,166,Snack,American,Restaurant C,Chennai,3.8,Non-Veg,27% off
Burrito,"Flour tortilla wrapped with rice, beans, and meat.",231,Main Course,Mexican,Restaurant D,Mumbai,3.6,Non-Veg,16% off
Paneer Tikka,Grilled paneer with Indian spices.,152,Snack,Indian,Restaurant D,Bangalore,3.6,Veg,15% off
Butter Naan,Soft bread with butter.,173,Main Course,Indian,Restaurant F,Mumbai,3.6,Non-Veg,9% off
Churros,Fried dough pastry dusted with sugar.,425,Dessert,Mexican,Restaurant D,Bangalore,3.7,Non-Veg,21% off
Mac and Cheese,Creamy macaroni and cheese dish.,468,Main Course,American,Restaurant G,Hyderabad,3.4,Non-Veg,22% off
Enchiladas,Corn tortillas rolled with filling and sauce.,453,Main Course,Mexican,Restaurant H,Chennai,3.3,Non-Veg,5% off
Cheeseburger,Juicy beef patty with melted cheese.,493,Main Course,American,Restaurant A,Hyderabad,3.4,Non-Veg,28% off
Masala Dosa,South Indian rice pancake with masala.,465,Snack,Indian,Restaurant B,Hyderabad,3.9,Non-Veg,23% off
Tandoori Chicken,Grilled chicken marinated with Indian spices.,367,Snack,Indian,Restaurant I,Hyderabad,3.6,Non-Veg,7% off
Mac and Cheese,Creamy macaroni and cheese dish.,437,Main Course,American,Restaurant C,Delhi,3.9,Non-Veg,7% off
Cheeseburger,Juicy beef patty with melted cheese.,430,Main Course,American,Restaurant G,Mumbai,3.7,Non-Veg,12% off
Butter Naan,Soft bread with butter.,321,Main Course,Indian,Restaurant H,Mumbai,3.6,Non-Veg,13% off
Fish Curry,Fish cooked in coconut milk.,427,Main Course,Indian,Restaurant D,Chennai,3.3,Non-Veg,21% off
Quesadilla,Grilled tortilla with melted cheese filling.,167,Snack,Mexican,Restaurant A,Hyderabad,3.8,Non-Veg,19% off
Enchiladas,Corn tortillas rolled with filling and sauce.,403,Main Course,Mexican,Restaurant H,Hyderabad,3.9,Non-Veg,16% off
Burrito,"Flour tortilla wrapped with rice, beans, and meat.",406,Main Course,Mexican,Restaurant I,Delhi,3.3,Non-Veg,28% off
Masala Dosa,South Indian rice pancake with masala.,470,Snack,Indian,Restaurant H,Chennai,3.9,Non-Veg,10% off
Samosa,Crispy fried pastry filled with spiced potatoes.,276,Snack,Indian,Restaurant E,Chennai,3.7,Non-Veg,14% off
Tacos,Corn tortilla filled with meat and veggies.,321,Snack,Mexican,Restaurant D,Mumbai,3.6,Non-Veg,16% off
Coke Float,Coca-Cola with a scoop of vanilla ice cream.,257,Beverage,American,Restaurant D,Delhi,3.7,Non-Veg,5% off
